,,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,,,
,,,,,,,,,,x,,,,,,,,x,,,,,,,,,,x,,,,,,x,,,,,,,,,,
,,,,,,,,,,x,,x,x,x,x,x,,x,x,x,,x,x,x,x,x,,x,,x,x,x,,x,,,,,,,,,,
,,,,,,,,,,x,,x,,,x,x,,,,,,x,,,,x,,x,,x,,,,x,,,,,,,,,,
,,,,,,,,,,x,,x,x,,x,x,x,x,x,x,x,x,,x,,x,,x,,x,,x,x,x,,,,,,,,,,
,,,,,,,,,,x,,x,,,,x,,,,,,x,x,x,,,,x,,x,,,,x,,,,,,,,,,
,,,,,,,,,,x,,x,,x,x,x,x,x,,x,,,,,,x,x,x,,x,x,x,,x,,,,,,,,,,
,,,,,,,,,,x,,x,,,,,,x,,x,x,x,x,x,x,x,,,,x,,,,x,,,,,,,,,,
,,,,,,,,,,x,,x,x,x,,x,,x,,,,,,,,,,x,,x,,x,x,x,,,,,,,,,,
x,x,x,x,x,x,x,x,x,x,x,,,,x,,x,,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,,x,x,x,x,x,x,x,x,x,x,x
x,,,,,,x,,,,,,x,,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,x,,x,,x
x,,x,,x,,x,,x,,x,x,x,,x,,x,,x,,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,,,x
x,,x,,x,,x,,x,x,x,,x,,x,,x,,x,,,,x,,x,,,,x,,,,x,,,,,,x,,x,,x,x,x
x,,x,,x,,x,,,,x,,x,,,,x,,x,x,x,,x,,x,,x,,x,,x,x,x,,x,x,x,,x,,x,,,,x
x,,x,,x,,x,,x,x,x,,x,x,x,x,x,,x,,x,,x,,x,,x,,,,x,,,,x,,x,,x,,x,x,x,,x
x,,x,,x,,,,x,,,,,,,,,,x,,,,x,,x,,x,x,x,x,x,,x,,x,,x,,x,,x,,,,x
x,,x,,x,,x,x,x,,x,,x,x,x,x,x,,x,,x,,x,,,,,,,,,,x,,,,x,,x,,x,,x,,x
x,,x,,x,,x,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,x,,x,,x
x,,x,,x,,x,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,x,,x,x,x,,x
x,,x,,x,,x,,x,,s,,,,,,,,,,,,,,,,,,,,,,,,f,,x,,x,,x,,,,x
x,,x,,x,,x,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,x,,x,,x,,x
x,x,x,,x,x,x,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,x,,x,,x,,x
x,x,x,,x,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,x,,x,,x,,x
x,x,x,,x,,x,x,x,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,x,,x,,x,,x
x,,x,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,x,,x,,x,,x
x,,x,,x,x,x,,x,x,x,,,,,,,,,,,,c,,,,,,,,,,,,x,,x,,x,,x,,x,,x
x,,x,,x,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,x,,x,,x,,x
x,,x,,x,,x,x,x,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,x,x,x,,x,,x
x,,x,,x,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,,,,x,,x
x,,x,,x,x,x,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,x,x,x,x,x,x,x,,x
x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,x
x,x,x,x,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x